station;phenomenon;uom;timestart;timeend;value
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T00:11:53.000+02:00;20.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T00:21:53.000+02:00;19.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T00:43:01.000+02:00;19.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T01:01:53.000+02:00;19.5
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T01:41:53.000+02:00;19.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T01:51:53.000+02:00;19.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T02:06:07.000+02:00;19.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T02:42:59.000+02:00;19.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T03:13:02.000+02:00;19.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T03:36:12.000+02:00;19.5
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T04:13:02.000+02:00;19.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T04:31:54.000+02:00;19.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T04:41:52.000+02:00;19.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T05:11:54.000+02:00;19
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T05:43:02.000+02:00;18.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T05:51:54.000+02:00;18.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T06:31:54.000+02:00;18.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T06:43:02.000+02:00;18.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T07:01:54.000+02:00;18.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T07:51:54.000+02:00;18.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T08:06:12.000+02:00;18.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T08:21:54.000+02:00;18.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T08:51:54.000+02:00;19
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T09:01:52.000+02:00;19.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T09:21:52.000+02:00;19.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T10:01:52.000+02:00;20.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T10:13:00.000+02:00;20.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T10:43:02.000+02:00;20.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T11:01:54.000+02:00;21.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T11:31:52.000+02:00;21.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T12:13:00.000+02:00;24.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T12:21:52.000+02:00;24.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T12:31:52.000+02:00;23.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T13:06:13.000+02:00;23.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T13:21:54.000+02:00;24.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T13:51:55.000+02:00;23.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T14:21:53.000+02:00;23.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T14:51:53.000+02:00;24.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T15:13:01.000+02:00;23.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T15:31:53.000+02:00;24.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T15:43:03.000+02:00;24.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T16:01:53.000+02:00;24.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T16:21:53.000+02:00;25.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T17:01:53.000+02:00;24.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T17:13:01.000+02:00;25
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T17:21:53.000+02:00;25.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T17:51:53.000+02:00;24.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T18:13:01.000+02:00;25.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T18:51:53.000+02:00;24.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T19:13:01.000+02:00;23.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T19:21:53.000+02:00;23.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T20:13:01.000+02:00;23.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T20:31:53.000+02:00;23.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T21:01:53.000+02:00;23.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T21:21:53.000+02:00;22.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T21:41:53.000+02:00;22.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T22:13:01.000+02:00;21.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T22:21:53.000+02:00;21.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T22:51:53.000+02:00;21.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T23:11:53.000+02:00;21.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T23:31:53.000+02:00;21.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-20T23:51:53.000+02:00;21.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T00:13:01.000+02:00;21.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T01:01:54.000+02:00;20.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T01:51:54.000+02:00;19.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T02:01:54.000+02:00;19.6
